"country","botanical_division"
"Martinique","Martinique"
"Mauritania","Mauritania"
"Mauritius","Mauritius"
"Mayotte","Mayotte"
"Mexico","Mexico Central"
"Mexico","Mexico Northeast"
"Mexico","Mexico Gulf"
"Mexico","Mexico Northwest"
"Mexico","Mexico Southwest"
"Mexico","Mexico Southeast"
"Moldova","Ukraine"
"Monaco","Monaco"
"Mongolia","Mongolia"
"Montenegro","Yugoslavia"
"Montserrat","Montserrat"
"Morocco","Morocco"
"Mozambique","Mozambique"
"Namibia","Caprivi Strip"
"Namibia","Namibia"
"Nauru","Nauru"
"Nepal","Nepal"
"Netherlands","Netherlands"
"New Caledonia","New Caledonia"
"New Zealand","New Zealand North"
"New Zealand","New Zealand South"
"Nicaragua","Nicaragua"
"Niger","Niger"
"Nigeria","Nigeria"
"Niue","Niue"
"Norfolk Island","Norfolk Island"
"North Korea","Korea"
"Northern Mariana Islands","Northern Mariana Islands"
"Norway","Norway"
"Oman","Oman"
"Pakistan","Pakistan"
"Pakistan","West Himalaya"
"Palau","Palau"
"Vanuatu","Vanuatu"
"Panama","Panama"
"Papua New Guinea","Bismarck Archipelago"
"Papua New Guinea","New Guinea"
"Papua New Guinea","Solomon Is."
"Paraguay","Paraguay"
"Peru","Peru"
"Philippines","Philippines"
"Pitcairn Islands","Pitcairn Islands"
"Poland","Poland"
"Portugal","Portugal"
"Puerto Rico","Puerto Rico"
"Qatar","Gulf States"
"Reunion","Reunion"
"Romania","Romania"
"Russia","Altay"
"Russia","Amur"
"Russia","Baltic States"
"Russia","Buryatiya"
"Russia","Chita"
"Russia","Irkutsk"
"Russia","Kamchatka"
"Russia","Khabarovsk"
"Russia","Krasnoyarsk"
"Russia","Kuril Is."
"Russia","Magadan"
"Russia","North Caucasus"
"Russia","Primorye"
"Russia","Central European Russia"
"Russia","East European Russia"
"Russia","North European Russia"
"Russia","South European Russia"
"Russia","Northwest European Russia"
"Russia","Sakhalin"
"Russia","Tuva"
"Russia","West Siberia"
"Russia","Yakutskiya"
"Rwanda","Rwanda"
"Saint-Barthélemy","Saint-Barthélemy"
"Saint Helena","Saint Helena"
"Saint Kitts and Nevis","Saint Kitts and Nevis"
"Saint Lucia","Saint Lucia"
"Saint-Martin","Saint-Martin"
"Saint Pierre and Miquelon","Saint Pierre and Miquelon"
"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines"
"Samoa","Samoa"
"San Marino","San Marino"
"Sao Tome and Principe","Sao Tome and Principe"
"Saudi Arabia","Saudi Arabia"
"Senegal","Senegal"
"Serbia","Yugoslavia"
"Seychelles","Seychelles"
"Sierra Leone","Sierra Leone"
"Singapore","Singapore"
"Sint Maarten","Sint Maarten"
"Slovakia","Czechoslovakia"
"Slovenia","Yugoslavia"
"Solomon Islands","Solomon Is."
"Somalia","Somalia"
"South Africa","Cape Provinces"
"South Africa","KwaZulu-Natal"
"South Africa","Free State"
"South Africa","Northern Provinces"
"South Georgia and the South Sandwich Islands","South Georgia and the South Sandwich Islands"
"South Korea","Korea"
"Spain","Baleares"
"Spain","Canary Is."
"Spain","Spain"
"Spratly islands","Spratly islands"
"Sri Lanka","Sri Lanka"
"Sudan","Sudan"
"Suriname","Surinam"
"Svalbard and Jan Mayen","Svalbard"
"Swaziland","Swaziland"
"Sweden","Sweden"
"Switzerland","Switzerland"
"Syria","Lebanon-Syria"
"Taiwan","Taiwan"
"Tajikistan","Tadzhikistan"
"Tanzania","Tanzania"
"Thailand","Thailand"
"East Timor","Lesser Sunda Is."
"Togo","Togo"
"Tokelau","Tokelau"
"Tonga","Tonga"
"Trinidad and Tobago","Trinidad and Tobago"
"Tunisia","Tunisia"
"Turkey","Turkey-in-Europe"
"Turkey","Turkey"
"Turkmenistan","Turkmenistan"
"Turks and Caicos Islands","Turks and Caicos Islands"
"Tuvalu","Tuvalu"
"Uganda","Uganda"
"Ukraine","Krym"
"Ukraine","Ukraine"
"United Arab Emirates","Gulf States"
"United Kingdom","Great Britain"
"United States","Alabama"
"United States","Aleutian Is."
"United States","Arizona"
"United States","Arkansas"
"United States","Alaska"
"United States","California"
"United States","Connecticut"
"United States","Colorado"
"United States","Delaware"
"United States","Florida"
"United States","Georgia"
"United States","Hawaii"
"United States","Idaho"
"United States","Illinois"
"United States","Indiana"
"United States","Iowa"
"United States","Kansas"
"United States","Kentucky"
"United States","Louisiana"
"United States","Maine"
"United States","Massachusetts"
"United States","Michigan"
"United States","Minnesota"
"United States","Montana"
"United States","Maryland"
"United States","Mississippi"
"United States","Missouri"
"United States","North Carolina"
"United States","North Dakota"
"United States","Nebraska"
"United States","Nevada"
"United States","New Hampshire"
"United States","New Jersey"
"United States","New Mexico"
"United States","New York"
"United States","Ohio"
"United States","Oklahoma"
"United States","Oregon"
"United States","Pennsylvania"
"United States","South Carolina"
"United States","South Dakota"
"United States","Tennessee"
"United States","Texas"
"United States","Utah"
"United States","Vermont"
"United States","Virginia"
"United States","Washington"
"United States","Wisconsin"
"United States","West Virginia"
"United States","Wyoming"
"Uruguay","Uruguay"
"Uzbekistan","Kazakhstan"
"Uzbekistan","Uzbekistan"
"Vatican City","Vatican City"
"Venezuela","Venezuela"
"Vietnam","Vietnam"
"Virgin Islands, U.S.","Virgin Islands, U.S."
"Wallis and Futuna","Wallis and Futuna"
"Western Sahara","Western Sahara"
"Yemen","Yemen"
"Zambia","Zambia"
"Zimbabwe","Zimbabwe"
"Paracel Islands","Paracel Islands"
